Count: 9096 Words
Lemma	Form	Analysis
ciwan	ciwan	ADJ
ciwan	ciwan-e	ADJ;[IZAFE]
ciwan	ciwan-tir	ADJ;CMPR
ciwan	ciwan-tir-e	ADJ;CMPR;[IZAFE]
ciwan	ciwan-tirîn	ADJ;SPRL
ciwan	ciwan-tirîn-e	ADJ;SPRL;[IZAFE]
ciwan	ciwan-im	ADJ;[COP1S]
ciwan	ciwan-ît	ADJ;[COP2S]
ciwan	ciwan-e	ADJ;[COP3S]
ciwan	ciwan-în	ADJ;[COP1P]
ciwan	ciwan-in	ADJ;[COP2P]
ciwan	ciwan-in	ADJ;[COP3P]
ciwan	ciwan-da	ADJ;[DA]
ciwan	ciwan-da-m	ADJ;[DA];[COP1S]
ciwan	ciwan-da-yt	ADJ;[DA];[COP2S]
ciwan	ciwan-da-ye	ADJ;[DA];[COP3S]
ciwan	ciwan-da-yn	ADJ;[DA];[COP1P]
ciwan	ciwan-da-n	ADJ;[DA];[COP2P]
ciwan	ciwan-da-n	ADJ;[DA];[COP3P]
ciwan	ciwan-ewe	ADJ;[EWE]
ciwan	ciwan-ewe-m	ADJ;[EWE];[COP1S]
ciwan	ciwan-ewe-yt	ADJ;[EWE];[COP2S]
ciwan	ciwan-ewe-ye	ADJ;[EWE];[COP3S]
ciwan	ciwan-ewe-yn	ADJ;[EWE];[COP1P]
ciwan	ciwan-ewe-n	ADJ;[EWE];[COP2P]
ciwan	ciwan-ewe-n	ADJ;[EWE];[COP3P]
ciwan	ciwan-im	ADJ;PSS1S
ciwan	ciwan-im-im	ADJ;PSS1S;[COP1S]
ciwan	ciwan-im-ît	ADJ;PSS1S;[COP2S]
ciwan	ciwan-im-e	ADJ;PSS1S;[COP3S]
ciwan	ciwan-im-în	ADJ;PSS1S;[COP1P]
ciwan	ciwan-im-in	ADJ;PSS1S;[COP2P]
ciwan	ciwan-im-in	ADJ;PSS1S;[COP3P]
ciwan	ciwan-im-da	ADJ;PSS1S;[DA]
ciwan	ciwan-im-da-m	ADJ;PSS1S;[DA];[COP1S]
ciwan	ciwan-im-da-yt	ADJ;PSS1S;[DA];[COP2S]
ciwan	ciwan-im-da-ye	ADJ;PSS1S;[DA];[COP3S]
ciwan	ciwan-im-da-yn	ADJ;PSS1S;[DA];[COP1P]
ciwan	ciwan-im-da-n	ADJ;PSS1S;[DA];[COP2P]
ciwan	ciwan-im-da-n	ADJ;PSS1S;[DA];[COP3P]
ciwan	ciwan-im-ewe	ADJ;PSS1S;[EWE]
ciwan	ciwan-im-ewe-m	ADJ;PSS1S;[EWE];[COP1S]
ciwan	ciwan-im-ewe-yt	ADJ;PSS1S;[EWE];[COP2S]
ciwan	ciwan-im-ewe-ye	ADJ;PSS1S;[EWE];[COP3S]
ciwan	ciwan-im-ewe-yn	ADJ;PSS1S;[EWE];[COP1P]
ciwan	ciwan-im-ewe-n	ADJ;PSS1S;[EWE];[COP2P]
ciwan	ciwan-im-ewe-n	ADJ;PSS1S;[EWE];[COP3P]
ciwan	ciwan-it	ADJ;PSS2S
ciwan	ciwan-it-im	ADJ;PSS2S;[COP1S]
ciwan	ciwan-it-ît	ADJ;PSS2S;[COP2S]
ciwan	ciwan-it-e	ADJ;PSS2S;[COP3S]
ciwan	ciwan-it-în	ADJ;PSS2S;[COP1P]
ciwan	ciwan-it-in	ADJ;PSS2S;[COP2P]
