Count: 3032 Words
Lemma	Form	Analysis
dar	dar	N
dar	dar-e	N;[IZAFE]
dar	dar-im	N;[COP1S]
dar	dar-ît	N;[COP2S]
dar	dar-e	N;[COP3S]
dar	dar-în	N;[COP1P]
dar	dar-in	N;[COP2P]
dar	dar-in	N;[COP3P]
dar	dar-da	N;[DA]
dar	dar-da-m	N;[DA];[COP1S]
dar	dar-da-yt	N;[DA];[COP2S]
dar	dar-da-ye	N;[DA];[COP3S]
dar	dar-da-yn	N;[DA];[COP1P]
dar	dar-da-n	N;[DA];[COP2P]
dar	dar-da-n	N;[DA];[COP3P]
dar	dar-ewe	N;[EWE]
dar	dar-ewe-m	N;[EWE];[COP1S]
dar	dar-ewe-yt	N;[EWE];[COP2S]
dar	dar-ewe-ye	N;[EWE];[COP3S]
dar	dar-ewe-yn	N;[EWE];[COP1P]
dar	dar-ewe-n	N;[EWE];[COP2P]
dar	dar-ewe-n	N;[EWE];[COP3P]
dar	dar-im	N;PSS1S
dar	dar-im-im	N;PSS1S;[COP1S]
dar	dar-im-ît	N;PSS1S;[COP2S]
dar	dar-im-e	N;PSS1S;[COP3S]
dar	dar-im-în	N;PSS1S;[COP1P]
dar	dar-im-in	N;PSS1S;[COP2P]
dar	dar-im-in	N;PSS1S;[COP3P]
dar	dar-im-da	N;PSS1S;[DA]
dar	dar-im-da-m	N;PSS1S;[DA];[COP1S]
dar	dar-im-da-yt	N;PSS1S;[DA];[COP2S]
dar	dar-im-da-ye	N;PSS1S;[DA];[COP3S]
dar	dar-im-da-yn	N;PSS1S;[DA];[COP1P]
dar	dar-im-da-n	N;PSS1S;[DA];[COP2P]
dar	dar-im-da-n	N;PSS1S;[DA];[COP3P]
dar	dar-im-ewe	N;PSS1S;[EWE]
dar	dar-im-ewe-m	N;PSS1S;[EWE];[COP1S]
dar	dar-im-ewe-yt	N;PSS1S;[EWE];[COP2S]
dar	dar-im-ewe-ye	N;PSS1S;[EWE];[COP3S]
dar	dar-im-ewe-yn	N;PSS1S;[EWE];[COP1P]
dar	dar-im-ewe-n	N;PSS1S;[EWE];[COP2P]
dar	dar-im-ewe-n	N;PSS1S;[EWE];[COP3P]
dar	dar-it	N;PSS2S
dar	dar-it-im	N;PSS2S;[COP1S]
dar	dar-it-ît	N;PSS2S;[COP2S]
dar	dar-it-e	N;PSS2S;[COP3S]
dar	dar-it-în	N;PSS2S;[COP1P]
dar	dar-it-in	N;PSS2S;[COP2P]
dar	dar-it-in	N;PSS2S;[COP3P]
dar	dar-it-da	N;PSS2S;[DA]
dar	dar-it-da-m	N;PSS2S;[DA];[COP1S]
dar	dar-it-da-yt	N;PSS2S;[DA];[COP2S]
dar	dar-it-da-ye	N;PSS2S;[DA];[COP3S]
dar	dar-it-da-yn	N;PSS2S;[DA];[COP1P]
dar	dar-it-da-n	N;PSS2S;[DA];[COP2P]
dar	dar-it-da-n	N;PSS2S;[DA];[COP3P]
dar	dar-it-ewe	N;PSS2S;[EWE]
dar	dar-it-ewe-m	N;PSS2S;[EWE];[COP1S]
dar	dar-it-ewe-yt	N;PSS2S;[EWE];[COP2S]
dar	dar-it-ewe-ye	N;PSS2S;[EWE];[COP3S]
dar	dar-it-ewe-yn	N;PSS2S;[EWE];[COP1P]
dar	dar-it-ewe-n	N;PSS2S;[EWE];[COP2P]
dar	dar-it-ewe-n	N;PSS2S;[EWE];[COP3P]
dar	dar-î	N;PSS3S
dar	dar-y-im	N;PSS3S;[COP1S]
dar	dar-y-ît	N;PSS3S;[COP2S]
dar	dar-ye-tî	N;PSS3S;[COP3S]
dar	dar-y-în	N;PSS3S;[COP1P]
dar	dar-y-in	N;PSS3S;[COP2P]
dar	dar-y-in	N;PSS3S;[COP3P]
dar	dar-î-da	N;PSS3S;[DA]
dar	dar-î-da-m	N;PSS3S;[DA];[COP1S]
dar	dar-î-da-yt	N;PSS3S;[DA];[COP2S]
dar	dar-î-da-ye	N;PSS3S;[DA];[COP3S]
dar	dar-î-da-yn	N;PSS3S;[DA];[COP1P]
dar	dar-î-da-n	N;PSS3S;[DA];[COP2P]
dar	dar-î-da-n	N;PSS3S;[DA];[COP3P]
dar	dar-î-yewe	N;PSS3S;[EWE]
dar	dar-î-yewe-m	N;PSS3S;[EWE];[COP1S]
dar	dar-î-yewe-yt	N;PSS3S;[EWE];[COP2S]
dar	dar-î-yewe-ye	N;PSS3S;[EWE];[COP3S]
dar	dar-î-yewe-yn	N;PSS3S;[EWE];[COP1P]
dar	dar-î-yewe-n	N;PSS3S;[EWE];[COP2P]
dar	dar-î-yewe-n	N;PSS3S;[EWE];[COP3P]
dar	dar-man	N;PSS1P
dar	dar-man-im	N;PSS1P;[COP1S]
dar	dar-man-ît	N;PSS1P;[COP2S]
dar	dar-man-e	N;PSS1P;[COP3S]
dar	dar-man-în	N;PSS1P;[COP1P]
dar	dar-man-in	N;PSS1P;[COP2P]
dar	dar-man-in	N;PSS1P;[COP3P]
dar	dar-man-da	N;PSS1P;[DA]
dar	dar-man-da-m	N;PSS1P;[DA];[COP1S]
dar	dar-man-da-yt	N;PSS1P;[DA];[COP2S]
dar	dar-man-da-ye	N;PSS1P;[DA];[COP3S]
dar	dar-man-da-yn	N;PSS1P;[DA];[COP1P]
dar	dar-man-da-n	N;PSS1P;[DA];[COP2P]
dar	dar-man-da-n	N;PSS1P;[DA];[COP3P]
dar	dar-man-ewe	N;PSS1P;[EWE]
dar	dar-man-ewe-m	N;PSS1P;[EWE];[COP1S]
dar	dar-man-ewe-yt	N;PSS1P;[EWE];[COP2S]
dar	dar-man-ewe-ye	N;PSS1P;[EWE];[COP3S]
dar	dar-man-ewe-yn	N;PSS1P;[EWE];[COP1P]
dar	dar-man-ewe-n	N;PSS1P;[EWE];[COP2P]
dar	dar-man-ewe-n	N;PSS1P;[EWE];[COP3P]
dar	dar-tan	N;PSS2P
dar	dar-tan-im	N;PSS2P;[COP1S]
dar	dar-tan-ît	N;PSS2P;[COP2S]
dar	dar-tan-e	N;PSS2P;[COP3S]
dar	dar-tan-în	N;PSS2P;[COP1P]
dar	dar-tan-in	N;PSS2P;[COP2P]
dar	dar-tan-in	N;PSS2P;[COP3P]
dar	dar-tan-da	N;PSS2P;[DA]
dar	dar-tan-da-m	N;PSS2P;[DA];[COP1S]
dar	dar-tan-da-yt	N;PSS2P;[DA];[COP2S]
dar	dar-tan-da-ye	N;PSS2P;[DA];[COP3S]
dar	dar-tan-da-yn	N;PSS2P;[DA];[COP1P]
dar	dar-tan-da-n	N;PSS2P;[DA];[COP2P]
dar	dar-tan-da-n	N;PSS2P;[DA];[COP3P]
dar	dar-tan-ewe	N;PSS2P;[EWE]
dar	dar-tan-ewe-m	N;PSS2P;[EWE];[COP1S]
dar	dar-tan-ewe-yt	N;PSS2P;[EWE];[COP2S]
dar	dar-tan-ewe-ye	N;PSS2P;[EWE];[COP3S]
dar	dar-tan-ewe-yn	N;PSS2P;[EWE];[COP1P]
dar	dar-tan-ewe-n	N;PSS2P;[EWE];[COP2P]
dar	dar-tan-ewe-n	N;PSS2P;[EWE];[COP3P]
dar	dar-yan	N;PSS3P
dar	dar-yan-im	N;PSS3P;[COP1S]
dar	dar-yan-ît	N;PSS3P;[COP2S]
dar	dar-yan-e	N;PSS3P;[COP3S]
dar	dar-yan-în	N;PSS3P;[COP1P]
dar	dar-yan-in	N;PSS3P;[COP2P]
dar	dar-yan-in	N;PSS3P;[COP3P]
dar	dar-yan-da	N;PSS3P;[DA]
dar	dar-yan-da-m	N;PSS3P;[DA];[COP1S]
dar	dar-yan-da-yt	N;PSS3P;[DA];[COP2S]
dar	dar-yan-da-ye	N;PSS3P;[DA];[COP3S]
dar	dar-yan-da-yn	N;PSS3P;[DA];[COP1P]
dar	dar-yan-da-n	N;PSS3P;[DA];[COP2P]
dar	dar-yan-da-n	N;PSS3P;[DA];[COP3P]
dar	dar-yan-ewe	N;PSS3P;[EWE]
dar	dar-yan-ewe-m	N;PSS3P;[EWE];[COP1S]
dar	dar-yan-ewe-yt	N;PSS3P;[EWE];[COP2S]
dar	dar-yan-ewe-ye	N;PSS3P;[EWE];[COP3S]
dar	dar-yan-ewe-yn	N;PSS3P;[EWE];[COP1P]
dar	dar-yan-ewe-n	N;PSS3P;[EWE];[COP2P]
dar	dar-yan-ewe-n	N;PSS3P;[EWE];[COP3P]
dar	dar-îş	N;[ÎŞ]
dar	dar-îş-im	N;[ÎŞ];[COP1S]
dar	dar-îş-ît	N;[ÎŞ];[COP2S]
dar	dar-îş-e	N;[ÎŞ];[COP3S]
dar	dar-îş-în	N;[ÎŞ];[COP1P]
dar	dar-îş-in	N;[ÎŞ];[COP2P]
dar	dar-îş-in	N;[ÎŞ];[COP3P]
dar	dar-îş-da	N;[ÎŞ];[DA]
dar	dar-îş-da-m	N;[ÎŞ];[DA];[COP1S]
dar	dar-îş-da-yt	N;[ÎŞ];[DA];[COP2S]
dar	dar-îş-da-ye	N;[ÎŞ];[DA];[COP3S]
dar	dar-îş-da-yn	N;[ÎŞ];[DA];[COP1P]
dar	dar-îş-da-n	N;[ÎŞ];[DA];[COP2P]
dar	dar-îş-da-n	N;[ÎŞ];[DA];[COP3P]
dar	dar-îş-ewe	N;[ÎŞ];[EWE]
dar	dar-îş-ewe-m	N;[ÎŞ];[EWE];[COP1S]
dar	dar-îş-ewe-yt	N;[ÎŞ];[EWE];[COP2S]
dar	dar-îş-ewe-ye	N;[ÎŞ];[EWE];[COP3S]
dar	dar-îş-ewe-yn	N;[ÎŞ];[EWE];[COP1P]
dar	dar-îş-ewe-n	N;[ÎŞ];[EWE];[COP2P]
dar	dar-îş-ewe-n	N;[ÎŞ];[EWE];[COP3P]
dar	dar-îş-im	N;[ÎŞ];PSS1S
dar	dar-îş-im-im	N;[ÎŞ];PSS1S;[COP1S]
dar	dar-îş-im-ît	N;[ÎŞ];PSS1S;[COP2S]
dar	dar-îş-im-e	N;[ÎŞ];PSS1S;[COP3S]
dar	dar-îş-im-în	N;[ÎŞ];PSS1S;[COP1P]
dar	dar-îş-im-in	N;[ÎŞ];PSS1S;[COP2P]
dar	dar-îş-im-in	N;[ÎŞ];PSS1S;[COP3P]
dar	dar-îş-im-da	N;[ÎŞ];PSS1S;[DA]
dar	dar-îş-im-da-m	N;[ÎŞ];PSS1S;[DA];[COP1S]
dar	dar-îş-im-da-yt	N;[ÎŞ];PSS1S;[DA];[COP2S]
dar	dar-îş-im-da-ye	N;[ÎŞ];PSS1S;[DA];[COP3S]
dar	dar-îş-im-da-yn	N;[ÎŞ];PSS1S;[DA];[COP1P]
dar	dar-îş-im-da-n	N;[ÎŞ];PSS1S;[DA];[COP2P]
dar	dar-îş-im-da-n	N;[ÎŞ];PSS1S;[DA];[COP3P]
dar	dar-îş-im-ewe	N;[ÎŞ];PSS1S;[EWE]
dar	dar-îş-im-ewe-m	N;[ÎŞ];PSS1S;[EWE];[COP1S]
dar	dar-îş-im-ewe-yt	N;[ÎŞ];PSS1S;[EWE];[COP2S]
dar	dar-îş-im-ewe-ye	N;[ÎŞ];PSS1S;[EWE];[COP3S]
dar	dar-îş-im-ewe-yn	N;[ÎŞ];PSS1S;[EWE];[COP1P]
dar	dar-îş-im-ewe-n	N;[ÎŞ];PSS1S;[EWE];[COP2P]
dar	dar-îş-im-ewe-n	N;[ÎŞ];PSS1S;[EWE];[COP3P]
dar	dar-îş-it	N;[ÎŞ];PSS2S
dar	dar-îş-it-im	N;[ÎŞ];PSS2S;[COP1S]
dar	dar-îş-it-ît	N;[ÎŞ];PSS2S;[COP2S]
dar	dar-îş-it-e	N;[ÎŞ];PSS2S;[COP3S]
dar	dar-îş-it-în	N;[ÎŞ];PSS2S;[COP1P]
dar	dar-îş-it-in	N;[ÎŞ];PSS2S;[COP2P]
dar	dar-îş-it-in	N;[ÎŞ];PSS2S;[COP3P]
dar	dar-îş-it-da	N;[ÎŞ];PSS2S;[DA]
dar	dar-îş-it-da-m	N;[ÎŞ];PSS2S;[DA];[COP1S]
dar	dar-îş-it-da-yt	N;[ÎŞ];PSS2S;[DA];[COP2S]
dar	dar-îş-it-da-ye	N;[ÎŞ];PSS2S;[DA];[COP3S]
dar	dar-îş-it-da-yn	N;[ÎŞ];PSS2S;[DA];[COP1P]
dar	dar-îş-it-da-n	N;[ÎŞ];PSS2S;[DA];[COP2P]
dar	dar-îş-it-da-n	N;[ÎŞ];PSS2S;[DA];[COP3P]
dar	dar-îş-it-ewe	N;[ÎŞ];PSS2S;[EWE]
dar	dar-îş-it-ewe-m	N;[ÎŞ];PSS2S;[EWE];[COP1S]
dar	dar-îş-it-ewe-yt	N;[ÎŞ];PSS2S;[EWE];[COP2S]
dar	dar-îş-it-ewe-ye	N;[ÎŞ];PSS2S;[EWE];[COP3S]
dar	dar-îş-it-ewe-yn	N;[ÎŞ];PSS2S;[EWE];[COP1P]
dar	dar-îş-it-ewe-n	N;[ÎŞ];PSS2S;[EWE];[COP2P]
dar	dar-îş-it-ewe-n	N;[ÎŞ];PSS2S;[EWE];[COP3P]
dar	dar-îş-î	N;[ÎŞ];PSS3S
dar	dar-îş-y-im	N;[ÎŞ];PSS3S;[COP1S]
dar	dar-îş-y-ît	N;[ÎŞ];PSS3S;[COP2S]
dar	dar-îş-ye-tî	N;[ÎŞ];PSS3S;[COP3S]
dar	dar-îş-y-în	N;[ÎŞ];PSS3S;[COP1P]
dar	dar-îş-y-in	N;[ÎŞ];PSS3S;[COP2P]
dar	dar-îş-y-in	N;[ÎŞ];PSS3S;[COP3P]
dar	dar-îş-î-da	N;[ÎŞ];PSS3S;[DA]
dar	dar-îş-î-da-m	N;[ÎŞ];PSS3S;[DA];[COP1S]
dar	dar-îş-î-da-yt	N;[ÎŞ];PSS3S;[DA];[COP2S]
dar	dar-îş-î-da-ye	N;[ÎŞ];PSS3S;[DA];[COP3S]
dar	dar-îş-î-da-yn	N;[ÎŞ];PSS3S;[DA];[COP1P]
