Inflections: 3180 forms
Lemma	Form	Analysis (UniMorph)
girtin	de-gir-im	V;PRS;IND;ArgNO1S
girtin	de-gir-ît	V;PRS;IND;ArgNO2S
girtin	de-gir-êt	V;PRS;IND;ArgNO3S
girtin	de-gir-în	V;PRS;IND;ArgNO1P
girtin	de-gir-in	V;PRS;IND;ArgNO2P
girtin	de-gir-in	V;PRS;IND;ArgNO3P
girtin	de-t-gir-im	V;PRS;IND;ArgNO1S;ArgAC2S
girtin	de-y-gir-im	V;PRS;IND;ArgNO1S;ArgAC3S
girtin	de-tan-gir-im	V;PRS;IND;ArgNO1S;ArgAC2P
girtin	de-yan-gir-im	V;PRS;IND;ArgNO1S;ArgAC3P
girtin	de-ş-gir-im	V;PRS;IND;ArgNO1S;[ÎŞ]
girtin	de-ş-it-gir-im	V;PRS;IND;ArgNO1S;[ÎŞ];ArgAC2S
girtin	de-ş-î-gir-im	V;PRS;IND;ArgNO1S;[ÎŞ];ArgAC3S
girtin	de-ş-tan-gir-im	V;PRS;IND;ArgNO1S;[ÎŞ];ArgAC2P
girtin	de-ş-yan-gir-im	V;PRS;IND;ArgNO1S;[ÎŞ];ArgAC3P
girtin	de-m-gir-ît	V;PRS;IND;ArgNO2S;ArgAC1S
girtin	de-y-gir-ît	V;PRS;IND;ArgNO2S;ArgAC3S
girtin	de-man-gir-ît	V;PRS;IND;ArgNO2S;ArgAC1P
girtin	de-yan-gir-ît	V;PRS;IND;ArgNO2S;ArgAC3P
girtin	de-ş-gir-ît	V;PRS;IND;ArgNO2S;[ÎŞ]
girtin	de-ş-im-gir-ît	V;PRS;IND;ArgNO2S;[ÎŞ];ArgAC1S
girtin	de-ş-î-gir-ît	V;PRS;IND;ArgNO2S;[ÎŞ];ArgAC3S
girtin	de-ş-man-gir-ît	V;PRS;IND;ArgNO2S;[ÎŞ];ArgAC1P
girtin	de-ş-yan-gir-ît	V;PRS;IND;ArgNO2S;[ÎŞ];ArgAC3P
girtin	de-m-gir-êt	V;PRS;IND;ArgNO3S;ArgAC1S
girtin	de-t-gir-êt	V;PRS;IND;ArgNO3S;ArgAC2S
girtin	de-y-gir-êt	V;PRS;IND;ArgNO3S;ArgAC3S
girtin	de-man-gir-êt	V;PRS;IND;ArgNO3S;ArgAC1P
girtin	de-tan-gir-êt	V;PRS;IND;ArgNO3S;ArgAC2P
girtin	de-yan-gir-êt	V;PRS;IND;ArgNO3S;ArgAC3P
girtin	de-ş-gir-êt	V;PRS;IND;ArgNO3S;[ÎŞ]
girtin	de-ş-im-gir-êt	V;PRS;IND;ArgNO3S;[ÎŞ];ArgAC1S
girtin	de-ş-it-gir-êt	V;PRS;IND;ArgNO3S;[ÎŞ];ArgAC2S
girtin	de-ş-î-gir-êt	V;PRS;IND;ArgNO3S;[ÎŞ];ArgAC3S
girtin	de-ş-man-gir-êt	V;PRS;IND;ArgNO3S;[ÎŞ];ArgAC1P
girtin	de-ş-tan-gir-êt	V;PRS;IND;ArgNO3S;[ÎŞ];ArgAC2P
girtin	de-ş-yan-gir-êt	V;PRS;IND;ArgNO3S;[ÎŞ];ArgAC3P
girtin	de-t-gir-în	V;PRS;IND;ArgNO1P;ArgAC2S
girtin	de-y-gir-în	V;PRS;IND;ArgNO1P;ArgAC3S
girtin	de-tan-gir-în	V;PRS;IND;ArgNO1P;ArgAC2P
girtin	de-yan-gir-în	V;PRS;IND;ArgNO1P;ArgAC3P
girtin	de-ş-gir-în	V;PRS;IND;ArgNO1P;[ÎŞ]
girtin	de-ş-it-gir-în	V;PRS;IND;ArgNO1P;[ÎŞ];ArgAC2S
girtin	de-ş-î-gir-în	V;PRS;IND;ArgNO1P;[ÎŞ];ArgAC3S
girtin	de-ş-tan-gir-în	V;PRS;IND;ArgNO1P;[ÎŞ];ArgAC2P
girtin	de-ş-yan-gir-în	V;PRS;IND;ArgNO1P;[ÎŞ];ArgAC3P
girtin	de-m-gir-in	V;PRS;IND;ArgNO2P;ArgAC1S
girtin	de-y-gir-in	V;PRS;IND;ArgNO2P;ArgAC3S
girtin	de-man-gir-in	V;PRS;IND;ArgNO2P;ArgAC1P
girtin	de-yan-gir-in	V;PRS;IND;ArgNO2P;ArgAC3P
girtin	de-ş-gir-in	V;PRS;IND;ArgNO2P;[ÎŞ]
girtin	de-ş-im-gir-in	V;PRS;IND;ArgNO2P;[ÎŞ];ArgAC1S
girtin	de-ş-î-gir-in	V;PRS;IND;ArgNO2P;[ÎŞ];ArgAC3S
girtin	de-ş-man-gir-in	V;PRS;IND;ArgNO2P;[ÎŞ];ArgAC1P
girtin	de-ş-yan-gir-in	V;PRS;IND;ArgNO2P;[ÎŞ];ArgAC3P
girtin	de-m-gir-in	V;PRS;IND;ArgNO3P;ArgAC1S
girtin	de-t-gir-in	V;PRS;IND;ArgNO3P;ArgAC2S
girtin	de-y-gir-in	V;PRS;IND;ArgNO3P;ArgAC3S
