Inflections: 636 forms
Lemma	Form	Analysis (UniMorph)
kewtin	de-kew-im	V;PRS;IND;ArgNO1S
kewtin	de-kew-ît	V;PRS;IND;ArgNO2S
kewtin	de-kew-êt	V;PRS;IND;ArgNO3S
kewtin	de-kew-în	V;PRS;IND;ArgNO1P
kewtin	de-kew-in	V;PRS;IND;ArgNO2P
kewtin	de-kew-in	V;PRS;IND;ArgNO3P
kewtin	de-ş-kew-im	V;PRS;IND;ArgNO1S;[ÎŞ]
kewtin	de-ş-kew-ît	V;PRS;IND;ArgNO2S;[ÎŞ]
kewtin	de-ş-kew-êt	V;PRS;IND;ArgNO3S;[ÎŞ]
kewtin	de-ş-kew-în	V;PRS;IND;ArgNO1P;[ÎŞ]
kewtin	de-ş-kew-in	V;PRS;IND;ArgNO2P;[ÎŞ]
kewtin	de-ş-kew-in	V;PRS;IND;ArgNO3P;[ÎŞ]
kewtin	na-kew-im	V;PRS;IND;NEG;ArgNO1S
kewtin	na-kew-ît	V;PRS;IND;NEG;ArgNO2S
kewtin	na-kew-êt	V;PRS;IND;NEG;ArgNO3S
kewtin	na-kew-în	V;PRS;IND;NEG;ArgNO1P
kewtin	na-kew-in	V;PRS;IND;NEG;ArgNO2P
kewtin	na-kew-in	V;PRS;IND;NEG;ArgNO3P
kewtin	na-ş-kew-im	V;PRS;IND;NEG;ArgNO1S;[ÎŞ]
kewtin	na-ş-kew-ît	V;PRS;IND;NEG;ArgNO2S;[ÎŞ]
kewtin	na-ş-kew-êt	V;PRS;IND;NEG;ArgNO3S;[ÎŞ]
kewtin	na-ş-kew-în	V;PRS;IND;NEG;ArgNO1P;[ÎŞ]
kewtin	na-ş-kew-in	V;PRS;IND;NEG;ArgNO2P;[ÎŞ]
kewtin	na-ş-kew-in	V;PRS;IND;NEG;ArgNO3P;[ÎŞ]
kewtin	bi-kew-im	V;PRS;SBJV;ArgNO1S
kewtin	bi-kew-ît	V;PRS;SBJV;ArgNO2S
kewtin	bi-kew-êt	V;PRS;SBJV;ArgNO3S
kewtin	bi-kew-în	V;PRS;SBJV;ArgNO1P
kewtin	bi-kew-in	V;PRS;SBJV;ArgNO2P
kewtin	bi-kew-in	V;PRS;SBJV;ArgNO3P
kewtin	bi-ş-kew-im	V;PRS;SBJV;ArgNO1S;[ÎŞ]
kewtin	bi-ş-kew-ît	V;PRS;SBJV;ArgNO2S;[ÎŞ]
kewtin	bi-ş-kew-êt	V;PRS;SBJV;ArgNO3S;[ÎŞ]
kewtin	bi-ş-kew-în	V;PRS;SBJV;ArgNO1P;[ÎŞ]
kewtin	bi-ş-kew-in	V;PRS;SBJV;ArgNO2P;[ÎŞ]
kewtin	bi-ş-kew-in	V;PRS;SBJV;ArgNO3P;[ÎŞ]
kewtin	ne-kew-im	V;PRS;SBJV;NEG;ArgNO1S
kewtin	ne-kew-ît	V;PRS;SBJV;NEG;ArgNO2S
kewtin	ne-kew-êt	V;PRS;SBJV;NEG;ArgNO3S
kewtin	ne-kew-în	V;PRS;SBJV;NEG;ArgNO1P
kewtin	ne-kew-in	V;PRS;SBJV;NEG;ArgNO2P
kewtin	ne-kew-in	V;PRS;SBJV;NEG;ArgNO3P
kewtin	ne-ş-kew-im	V;PRS;SBJV;NEG;ArgNO1S;[ÎŞ]
kewtin	ne-ş-kew-ît	V;PRS;SBJV;NEG;ArgNO2S;[ÎŞ]
kewtin	ne-ş-kew-êt	V;PRS;SBJV;NEG;ArgNO3S;[ÎŞ]
kewtin	ne-ş-kew-în	V;PRS;SBJV;NEG;ArgNO1P;[ÎŞ]
kewtin	ne-ş-kew-in	V;PRS;SBJV;NEG;ArgNO2P;[ÎŞ]
kewtin	ne-ş-kew-in	V;PRS;SBJV;NEG;ArgNO3P;[ÎŞ]
kewtin	bi-kew-e	V;IMP;ArgNO2S
kewtin	bi-kew-in	V;IMP;ArgNO2P
kewtin	bi-ş-kew-e	V;IMP;ArgNO2S;[ÎŞ]
kewtin	bi-ş-kew-in	V;IMP;ArgNO2P;[ÎŞ]
kewtin	me-kew-e	V;IMP;NEG;ArgNO2S
kewtin	me-kew-in	V;IMP;NEG;ArgNO2P
kewtin	me-ş-kew-e	V;IMP;NEG;ArgNO2S;[ÎŞ]
kewtin	me-ş-kew-in	V;IMP;NEG;ArgNO2P;[ÎŞ]
kewtin	kewt-im	V;PST;IND;ArgNO1S
kewtin	kewt-ît	V;PST;IND;ArgNO2S
kewtin	kewt	V;PST;IND;ArgNO3S
kewtin	kewt-în	V;PST;IND;ArgNO1P
kewtin	kewt-in	V;PST;IND;ArgNO2P
kewtin	kewt-in	V;PST;IND;ArgNO3P
kewtin	kewt-îş-im	V;PST;IND;ArgNO1S;[ÎŞ]
kewtin	kewt-îş-ît	V;PST;IND;ArgNO2S;[ÎŞ]
kewtin	kewt-îş	V;PST;IND;ArgNO3S;[ÎŞ]
kewtin	kewt-îş-în	V;PST;IND;ArgNO1P;[ÎŞ]
kewtin	kewt-îş-in	V;PST;IND;ArgNO2P;[ÎŞ]
kewtin	kewt-îş-in	V;PST;IND;ArgNO3P;[ÎŞ]
kewtin	ne-kewt-im	V;PST;IND;NEG;ArgNO1S
kewtin	ne-kewt-ît	V;PST;IND;NEG;ArgNO2S
kewtin	ne-kewt	V;PST;IND;NEG;ArgNO3S
kewtin	ne-kewt-în	V;PST;IND;NEG;ArgNO1P
kewtin	ne-kewt-in	V;PST;IND;NEG;ArgNO2P
kewtin	ne-kewt-in	V;PST;IND;NEG;ArgNO3P
kewtin	ne-ş-kewt-im	V;PST;IND;NEG;ArgNO1S;[ÎŞ]
kewtin	ne-ş-kewt-ît	V;PST;IND;NEG;ArgNO2S;[ÎŞ]
kewtin	ne-ş-kewt	V;PST;IND;NEG;ArgNO3S;[ÎŞ]
kewtin	ne-ş-kewt-în	V;PST;IND;NEG;ArgNO1P;[ÎŞ]
kewtin	ne-ş-kewt-in	V;PST;IND;NEG;ArgNO2P;[ÎŞ]
kewtin	ne-ş-kewt-in	V;PST;IND;NEG;ArgNO3P;[ÎŞ]
kewtin	kewt-ib-im	V;PST;SBJV;ArgNO1S
kewtin	kewt-ib-ît	V;PST;SBJV;ArgNO2S
kewtin	kewt-ib-êt	V;PST;SBJV;ArgNO3S
kewtin	kewt-ib-în	V;PST;SBJV;ArgNO1P
kewtin	kewt-ib-in	V;PST;SBJV;ArgNO2P
kewtin	kewt-ib-in	V;PST;SBJV;ArgNO3P
kewtin	kewt-ib-îş-im	V;PST;SBJV;ArgNO1S;[ÎŞ]
kewtin	kewt-ib-îş-ît	V;PST;SBJV;ArgNO2S;[ÎŞ]
kewtin	kewt-ib-îş-êt	V;PST;SBJV;ArgNO3S;[ÎŞ]
kewtin	kewt-ib-îş-în	V;PST;SBJV;ArgNO1P;[ÎŞ]
kewtin	kewt-ib-îş-in	V;PST;SBJV;ArgNO2P;[ÎŞ]
kewtin	kewt-ib-îş-in	V;PST;SBJV;ArgNO3P;[ÎŞ]
kewtin	ne-kewt-ib-im	V;PST;SBJV;NEG;ArgNO1S
kewtin	ne-kewt-ib-ît	V;PST;SBJV;NEG;ArgNO2S
kewtin	ne-kewt-ib-êt	V;PST;SBJV;NEG;ArgNO3S
kewtin	ne-kewt-ib-în	V;PST;SBJV;NEG;ArgNO1P
kewtin	ne-kewt-ib-in	V;PST;SBJV;NEG;ArgNO2P
kewtin	ne-kewt-ib-in	V;PST;SBJV;NEG;ArgNO3P
kewtin	ne-ş-kewt-ib-im	V;PST;SBJV;NEG;ArgNO1S;[ÎŞ]
kewtin	ne-ş-kewt-ib-ît	V;PST;SBJV;NEG;ArgNO2S;[ÎŞ]
kewtin	ne-ş-kewt-ib-êt	V;PST;SBJV;NEG;ArgNO3S;[ÎŞ]
kewtin	ne-ş-kewt-ib-în	V;PST;SBJV;NEG;ArgNO1P;[ÎŞ]
kewtin	ne-ş-kewt-ib-in	V;PST;SBJV;NEG;ArgNO2P;[ÎŞ]
kewtin	ne-ş-kewt-ib-in	V;PST;SBJV;NEG;ArgNO3P;[ÎŞ]
kewtin	de-kewt-im	V;PST;IPFV;IND;ArgNO1S
kewtin	de-kewt-ît	V;PST;IPFV;IND;ArgNO2S
kewtin	de-kewt	V;PST;IPFV;IND;ArgNO3S
kewtin	de-kewt-în	V;PST;IPFV;IND;ArgNO1P
kewtin	de-kewt-in	V;PST;IPFV;IND;ArgNO2P
kewtin	de-kewt-in	V;PST;IPFV;IND;ArgNO3P
kewtin	de-ş-kewt-im	V;PST;IPFV;IND;ArgNO1S;[ÎŞ]
kewtin	de-ş-kewt-ît	V;PST;IPFV;IND;ArgNO2S;[ÎŞ]
kewtin	de-ş-kewt	V;PST;IPFV;IND;ArgNO3S;[ÎŞ]
kewtin	de-ş-kewt-în	V;PST;IPFV;IND;ArgNO1P;[ÎŞ]
kewtin	de-ş-kewt-in	V;PST;IPFV;IND;ArgNO2P;[ÎŞ]
kewtin	de-ş-kewt-in	V;PST;IPFV;IND;ArgNO3P;[ÎŞ]
kewtin	ne-de-kewt-im	V;PST;IPFV;IND;NEG;ArgNO1S
kewtin	ne-de-kewt-ît	V;PST;IPFV;IND;NEG;ArgNO2S
kewtin	ne-de-kewt	V;PST;IPFV;IND;NEG;ArgNO3S
kewtin	ne-de-kewt-în	V;PST;IPFV;IND;NEG;ArgNO1P
kewtin	ne-de-kewt-in	V;PST;IPFV;IND;NEG;ArgNO2P
kewtin	ne-de-kewt-in	V;PST;IPFV;IND;NEG;ArgNO3P
kewtin	ne-ş-de-kewt-im	V;PST;IPFV;IND;NEG;ArgNO1S;[ÎŞ]
kewtin	ne-ş-de-kewt-ît	V;PST;IPFV;IND;NEG;ArgNO2S;[ÎŞ]
kewtin	ne-ş-de-kewt	V;PST;IPFV;IND;NEG;ArgNO3S;[ÎŞ]
kewtin	ne-ş-de-kewt-în	V;PST;IPFV;IND;NEG;ArgNO1P;[ÎŞ]
kewtin	ne-ş-de-kewt-in	V;PST;IPFV;IND;NEG;ArgNO2P;[ÎŞ]
kewtin	ne-ş-de-kewt-in	V;PST;IPFV;IND;NEG;ArgNO3P;[ÎŞ]
kewtin	bi-kewt-im-aye	V;PST;IPFV;SBJV;ArgNO1S
kewtin	bi-kewt-ît-aye	V;PST;IPFV;SBJV;ArgNO2S
kewtin	bi-kewt-aye	V;PST;IPFV;SBJV;ArgNO3S
kewtin	bi-kewt-în-aye	V;PST;IPFV;SBJV;ArgNO1P
kewtin	bi-kewt-in-aye	V;PST;IPFV;SBJV;ArgNO2P
kewtin	bi-kewt-in-aye	V;PST;IPFV;SBJV;ArgNO3P
kewtin	bi-ş-kewt-im-aye	V;PST;IPFV;SBJV;ArgNO1S;[ÎŞ]
kewtin	bi-ş-kewt-ît-aye	V;PST;IPFV;SBJV;ArgNO2S;[ÎŞ]
kewtin	bi-ş-kewt-aye	V;PST;IPFV;SBJV;ArgNO3S;[ÎŞ]
kewtin	bi-ş-kewt-în-aye	V;PST;IPFV;SBJV;ArgNO1P;[ÎŞ]
kewtin	bi-ş-kewt-in-aye	V;PST;IPFV;SBJV;ArgNO2P;[ÎŞ]
kewtin	bi-ş-kewt-in-aye	V;PST;IPFV;SBJV;ArgNO3P;[ÎŞ]
kewtin	ne-kewt-im-aye	V;PST;IPFV;SBJV;NEG;ArgNO1S
kewtin	ne-kewt-ît-aye	V;PST;IPFV;SBJV;NEG;ArgNO2S
kewtin	ne-kewt-aye	V;PST;IPFV;SBJV;NEG;ArgNO3S
kewtin	ne-kewt-în-aye	V;PST;IPFV;SBJV;NEG;ArgNO1P
kewtin	ne-kewt-in-aye	V;PST;IPFV;SBJV;NEG;ArgNO2P
kewtin	ne-kewt-in-aye	V;PST;IPFV;SBJV;NEG;ArgNO3P
kewtin	ne-ş-kewt-im-aye	V;PST;IPFV;SBJV;NEG;ArgNO1S;[ÎŞ]
kewtin	ne-ş-kewt-ît-aye	V;PST;IPFV;SBJV;NEG;ArgNO2S;[ÎŞ]
kewtin	ne-ş-kewt-aye	V;PST;IPFV;SBJV;NEG;ArgNO3S;[ÎŞ]
